"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
1,-0.566074762495737,-0.566074762495737,0,0,0,0,0,0,0,0
-0.566074762495737,1,0.320440636734605,0,0,0,0,0,0,0,0
-0.566074762495737,0.320440636734605,1,0,0,0,0,0,0,0,0
0,0,0,1,-0.841268609031737,-0.841268609031737,-0.841268609031737,0,0,0,0
0,0,0,-0.841268609031737,1,0.707732872542193,0.707732872542193,0,0,0,0
0,0,0,-0.841268609031737,0.707732872542193,1,0.707732872542193,0,0,0,0
0,0,0,-0.841268609031737,0.707732872542193,0.707732872542193,1,0,0,0,0
0,0,0,0,0,0,0,1,-0.841268609031737,-0.841268609031737,-0.841268609031737
0,0,0,0,0,0,0,-0.841268609031737,1,0.707732872542193,0.707732872542193
0,0,0,0,0,0,0,-0.841268609031737,0.707732872542193,1,0.707732872542193
0,0,0,0,0,0,0,-0.841268609031737,0.707732872542193,0.707732872542193,1
