"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
1,0.136301854946405,0.574808730149202,0,0,-0.716207086174122,0.512952590286026,0.282842224073541,-0.437684933847272,0.311433478679697,-0.434393697279478
0.136301854946405,1,0.237125582471626,0,0,-0.190310676308037,0.136301854946405,0.363334079894025,-0.562242265078243,0.400061895973715,-0.558014401243591
0.574808730149202,0.237125582471626,1,0,0,-0.802573363550128,0.574808730149202,0.492063201615127,-0.761444478641902,0.541803668498318,-0.755718684312125
0,0,0,1,-0.46284104384267,0,0,0,0,0,0
0,0,0,-0.46284104384267,1,0,0,0,0,0,0
-0.716207086174122,-0.190310676308036,-0.802573363550128,0,0,1,-0.716207086174122,-0.394916818799497,0.611115056380305,-0.434837192610494,0.60651968636606
0.512952590286026,0.136301854946405,0.574808730149202,0,0,-0.716207086174122,1,0.282842224073541,-0.437684933847272,0.311433478679697,-0.434393697279478
0.282842224073541,0.363334079894025,0.492063201615127,0,0,-0.394916818799497,0.282842224073541,1,-0.474431448073451,0.337580357107103,-0.651119539360093
-0.437684933847272,-0.562242265078243,-0.761444478641902,0,0,0.611115056380305,-0.437684933847272,-0.474431448073451,1,-0.711547176052375,0.728639549873918
0.311433478679697,0.400061895973715,0.541803668498318,0,0,-0.434837192610494,0.311433478679697,0.337580357107103,-0.711547176052375,1,-0.51846141407286
-0.434393697279478,-0.558014401243591,-0.755718684312125,0,0,0.60651968636606,-0.434393697279478,-0.651119539360093,0.728639549873918,-0.51846141407286,1
